Year,Temperature,Precipitation,Scenario,Model
1990,23.333333333333332,1579.6,Historical,Observed Station
1991,23.375,1410.9,Historical,Observed Station
1992,22.84166666666667,1930.1,Historical,Observed Station
1993,23.191666666666666,1443.1,Historical,Observed Station
1994,23.233333333333334,2279.1,Historical,Observed Station
1995,22.71666666666667,2049.6,Historical,Observed Station
1996,22.566666666666666,2149.8,Historical,Observed Station
1997,23.375,2340.1,Historical,Observed Station
1998,23.925,1374.9,Historical,Observed Station
1999,23.358333333333334,1782.1999999999998,Historical,Observed Station
2000,23.316666666666666,2088.1,Historical,Observed Station
2001,23.3,1757.2,Historical,Observed Station
2002,23.375,1400.3,Historical,Observed Station
2003,23.891666666666666,1560.4,Historical,Observed Station
2004,23.108333333333334,1737.3999999999999,Historical,Observed Station
2005,23.108333333333334,2054.6,Historical,Observed Station
2006,23.616666666666664,1705.4,Historical,Observed Station
2007,23.441666666666666,1393.3,Historical,Observed Station
2008,22.583333333333332,1877.1,Historical,Observed Station
2009,23.625,1682.2,Historical,Observed Station
2010,23.691666666666666,1981.1000000000001,Historical,Observed Station
2011,22.3,2135.9,Historical,Observed Station
2012,23.224999999999998,2083.0,Historical,Observed Station
2013,23.2,1492.5,Historical,Observed Station
2014,23.400000000000002,1627.1,Historical,Observed Station
2015,24.34166666666667,1959.6,Historical,Observed Station
2016,23.849999999999998,1808.5,Historical,Observed Station
2017,23.708333333333332,2414.2,Historical,Observed Station
2018,23.75,1935.8,Historical,Observed Station
2019,24.558333333333334,1639.0,Historical,Observed Station
2020,24.150000000000002,1740.6,Historical,Observed Station
2021,24.09166666666667,1664.6,Historical,Observed Station
2021,23.381410984848486,1771.9480326861135,ssp126,access-cm2
2021,23.23779356060606,2235.3405009700336,ssp126,inm-cm5-0
2021,23.25196022727273,2069.3994512378,ssp126,miroc6
2021,23.943191287878786,1565.2819748411955,ssp126,mpi-esm1-2-hr
2021,24.22750946969697,1729.431069777972,ssp126,noresm2-mm
2021,23.485577651515154,1809.7937264808609,ssp245,access-cm2
2021,23.993626893939393,1920.1880789054892,ssp245,inm-cm5-0
2021,23.441126893939394,1768.656792964662,ssp245,miroc6
2021,23.978191287878786,1532.9799981086635,ssp245,mpi-esm1-2-hr
2021,23.618342803030302,1535.1726618449013,ssp245,noresm2-mm
2021,22.508910984848484,2011.61988662077,ssp370,access-cm2
2021,23.09779356060606,2134.145240923032,ssp370,inm-cm5-0
2021,24.181960227272725,2059.9010778295224,ssp370,miroc6
2021,22.652357954545455,1878.1717409203131,ssp370,mpi-esm1-2-hr
2021,22.780009469696967,1554.744983220002,ssp370,noresm2-mm
2021,24.279744318181816,1755.1767039707986,ssp585,access-cm2
2021,23.466960227272725,1682.0401147770754,ssp585,inm-cm5-0
2021,24.126126893939396,1779.9906777811436,ssp585,miroc6
2021,23.343191287878785,1597.8229518768574,ssp585,mpi-esm1-2-hr
2021,23.63250946969697,2136.1035438274243,ssp585,noresm2-mm
2022,23.496410984848485,1608.9404548236837,ssp126,access-cm2
2022,23.138626893939392,1758.371402265128,ssp126,inm-cm5-0
2022,22.824460227272727,1613.7838771075114,ssp126,miroc6
2022,23.954857954545457,1902.1603226256254,ssp126,mpi-esm1-2-hr
2022,22.883342803030303,1896.335917179121,ssp126,noresm2-mm
2022,23.842244318181816,1500.166164077115,ssp245,access-cm2
2022,23.38279356060606,2101.139185414957,ssp245,inm-cm5-0
2022,23.194460227272728,1739.3352957533398,ssp245,miroc6
2022,23.629857954545454,1675.945555224184,ssp245,mpi-esm1-2-hr
2022,23.91250946969697,1739.88427387652,ssp245,noresm2-mm
2022,22.95057765151515,2042.6351885964918,ssp370,access-cm2
